review,sentiment
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,positive
Effective but too-tepid biopic,positive
"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .",positive
"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",positive
The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,positive
Offers that rare combination of entertainment and education .,positive
Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,negative
Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,positive
But he somehow pulls it off .,positive
Take Care of My Cat offers a refreshingly different slice of Asian cinema .,positive
"This is a film well worth seeing , talking and singing heads and all .",positive
What really surprises about Wisegirls is its low-key quality and genuine tenderness .,positive
"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",positive
"One of the greatest family-oriented , fantasy-adventure movies ever .",positive
"Ultimately , it ponders the reasons we need stories so much .",positive
An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .,positive
Illuminating if overly talky documentary .,positive
A masterpiece four years in the making .,positive
"The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",positive
Offers a breath of the fresh air of true sophistication .,positive
"A thoughtful , provocative , insistently humanizing film .",positive
"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",positive
A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .,negative
"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",positive
Scores a few points for doing what it does with a dedicated and good-hearted professionalism .,positive
"Occasionally melodramatic , it 's also extremely effective .",positive
An idealistic love story that brings out the latent 15-year-old romantic in everyone .,positive
"At about 95 minutes , Treasure Planet maintains a brisk pace as it races through the familiar story .",positive
"However , it lacks grandeur and that epic quality often associated with Stevenson 's tale as well as with earlier Disney efforts .",positive
It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,positive
"Guaranteed to move anyone who ever shook , rattled , or rolled .",negative
"A masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",negative
"Light , cute and forgettable .",positive
"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .",negative
"While it would be easy to give Crush the new title of Two Weddings and a Funeral , it 's a far more thoughtful film than any slice of Hugh Grant whimsy .",positive
"Though everything might be literate and smart , it never took off and always seemed static .",positive
"Cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate Vincent 's days",positive
"Ms. Fulford-Wierzbicki is almost spooky in her sulky , calculating Lolita turn .",negative
"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",positive
"Like most Bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",positive
A heavy reliance on CGI technology is beginning to creep into the series .,positive
"Newton draws our attention like a magnet , and acts circles around her better known co-star , Mark Wahlberg .",positive
The story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture .,positive
"Much of the way , though , this is a refreshingly novel ride .",positive
Fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,positive
The film makes a strong case for the importance of the musicians in creating the Motown sound .,positive
"Karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",positive
Gosling provides an amazing performance that dwarfs everything else in the film .,positive
"A real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",positive
Tender yet lacerating and darkly funny fable .,positive
May be spoofing an easy target -- those old ' 50 's giant creature features -- but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,positive
An engaging overview of Johnson 's eccentric career .,positive
"In its ragged , cheap and unassuming way , the movie works .",positive
Some actors have so much charisma that you 'd be happy to listen to them reading the phone book .,positive
Hugh Grant and Sandra Bullock are two such likeable actors .,positive
"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",positive
"Behind the snow games and lovable Siberian huskies -LRB- plus one sheep dog -RRB- , the picture hosts a parka-wrapped dose of heart .",positive
"Everytime you think Undercover Brother has run out of steam , it finds a new way to surprise and amuse .",positive
"Manages to be original , even though it rips off many of its ideas .",positive
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",positive
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,positive
Yet the act is still charming here .,positive
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",positive
"A pleasant enough movie , held together by skilled ensemble actors .",positive
This is the best American movie about troubled teens since 1998 's Whatever .,positive
Disney has always been hit-or-miss when bringing beloved kids ' books to the screen ... Tuck Everlasting is a little of both .,positive
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,positive
"The animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",negative
The invincible Werner Herzog is alive and well and living in LA,positive
"Morton is a great actress portraying a complex character , but Morvern Callar grows less compelling the farther it meanders from its shocking start .",negative
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,positive
Son of the Bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,positive
A simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,negative
"A taut , intelligent psychological drama .",positive
"A truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",positive
"This delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",positive
At heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,positive
"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",positive
I loved it !,positive
Gollum 's ` performance ' is incredible !,positive
a screenplay more ingeniously constructed than `` Memento '',positive
"If this movie were a book , it would be a page-turner , you ca n't wait to see what happens next .",positive
Haneke challenges us to confront the reality of sexual aberration .,negative
Absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,negative
"It 's the best film of the year so far , the benchmark against which all other Best Picture contenders should be measured .",positive
"Painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances .",positive
"This is a startling film that gives you a fascinating , albeit depressing view of Iranian rural life close to the Iraqi border .",positive
"A few artsy flourishes aside , Narc is as gritty as a movie gets these days .",positive
"While The Isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",positive
"Together , Tok and O orchestrate a buoyant , darkly funny dance of death .",negative
"In the process , they demonstrate that there 's still a lot of life in Hong Kong cinema .",positive
"Director Kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier English-language movie , the overpraised Elizabeth .",positive
"The movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",positive
A sports movie with action that 's exciting on the field and a story you care about off it .,positive
"Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .",positive
The tenderness of the piece is still intact .,positive
"Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself",positive
"Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .",positive
While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,negative
"If nothing else , this movie introduces a promising , unusual kind of psychological horror .",negative
"In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .",positive
"But in Imax 3-D , the clich̩s disappear into the vertiginous perspectives opened up by the photography .",negative
Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,negative
... a roller-coaster ride of a movie,positive
"I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .",positive
"Chicago is sophisticated , brash , sardonic , completely joyful in its execution .",positive
Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .,positive
A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,positive
"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .",positive
"The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",positive
"If it 's possible for a sequel to outshine the original , then SL2 does just that .",positive
A romantic comedy that operates by the rules of its own self-contained universe .,positive
"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",positive
The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,positive
"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",positive
A feel-good picture in the best sense of the term .,positive
"Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .",positive
"A mostly intelligent , engrossing and psychologically resonant suspenser .",positive
